,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
42,2020-21,POR,Portland Trail Blazers,22000267,2021-01-25,POR vs. OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,OKC,36,36,0.411,22.64,37.75,0.6,0.576,0.024,30.14,54.03,0.558,0.532,0.026,14.42,37.92,0.38,0.368,0.012,103.1,111.9
69,2020-21,POR,Portland Trail Blazers,22000256,2021-01-24,POR vs. NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,NYK,35,35,0.433,21.06,37.57,0.56,0.58,-0.019,26.83,52.69,0.509,0.533,-0.024,11.77,34.17,0.344,0.364,-0.02,98.2,105.7
20,2020-21,POR,Portland Trail Blazers,22000207,2021-01-18,POR vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,SAS,40,40,0.463,24.03,41.6,0.578,0.58,-0.002,31.3,58.35,0.536,0.533,0.003,11.68,31.48,0.371,0.37,0.001,101.0,110.7
24,2020-21,POR,Portland Trail Blazers,22000195,2021-01-16,POR vs. ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,ATL,36,36,0.421,21.75,37.67,0.577,0.576,0.001,29.5,55.11,0.535,0.53,0.006,12.03,34.31,0.351,0.363,-0.012,99.9,110.6
33,2020-21,POR,Portland Trail Blazers,22000178,2021-01-14,POR vs. IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,IND,37,37,0.504,26.81,47.57,0.564,0.575,-0.011,33.16,63.41,0.523,0.528,-0.005,10.89,31.05,0.351,0.362,-0.011,104.0,109.6
59,2020-21,POR,Portland Trail Blazers,22000173,2021-01-13,POR @ SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,SAC,36,36,0.473,24.81,41.92,0.592,0.572,0.02,31.36,56.75,0.553,0.528,0.025,11.33,31.81,0.356,0.36,-0.004,102.2,114.6
46,2020-21,POR,Portland Trail Blazers,22000155,2021-01-11,POR vs. TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,TOR,36,36,0.422,20.97,35.89,0.584,0.574,0.01,25.72,49.14,0.523,0.527,-0.004,13.69,35.94,0.381,0.366,0.015,101.6,109.8
60,2020-21,POR,Portland Trail Blazers,22000140,2021-01-09,POR @ SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,SAC,36,36,0.473,24.81,41.92,0.592,0.572,0.02,31.36,56.75,0.553,0.528,0.025,11.33,31.81,0.356,0.36,-0.004,102.2,114.6
57,2020-21,POR,Portland Trail Blazers,22000122,2021-01-07,POR vs. MIN,1610612750,43.22,89.0,0.486,0.468,0.018,Minnesota Timberwolves,MIN,36,36,0.433,21.97,38.5,0.571,0.582,-0.012,28.61,52.72,0.543,0.535,0.007,14.61,36.28,0.403,0.368,0.035,104.1,112.1
71,2020-21,POR,Portland Trail Blazers,22000106,2021-01-05,POR vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,CHI,38,38,0.437,21.92,37.79,0.58,0.57,0.01,29.13,54.53,0.534,0.527,0.007,11.53,32.03,0.36,0.366,-0.006,101.1,109.9
62,2020-21,POR,Portland Trail Blazers,22000092,2021-01-03,POR @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,GSW,35,35,0.449,22.4,39.69,0.564,0.577,-0.012,29.26,55.06,0.531,0.533,-0.002,11.51,33.29,0.346,0.362,-0.016,104.4,107.7
63,2020-21,POR,Portland Trail Blazers,22000078,2021-01-01,POR @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,GSW,35,35,0.449,22.4,39.69,0.564,0.577,-0.012,29.26,55.06,0.531,0.533,-0.002,11.51,33.29,0.346,0.362,-0.016,104.4,107.7
0,2020-21,POR,Portland Trail Blazers,22000061,2020-12-30,POR @ LAC,1610612746,40.89,87.47,0.468,0.466,0.001,LA Clippers,LAC,38,38,0.417,20.71,36.45,0.568,0.578,-0.009,29.18,55.08,0.53,0.532,-0.002,11.71,32.39,0.361,0.366,-0.004,99.1,108.7
3,2020-21,POR,Portland Trail Blazers,22000045,2020-12-28,POR @ LAL,1610612747,40.03,88.32,0.453,0.464,-0.011,Los Angeles Lakers,LAL,37,37,0.442,22.03,39.0,0.565,0.574,-0.009,28.35,55.68,0.509,0.529,-0.02,11.68,32.65,0.358,0.363,-0.006,100.8,104.8
6,2020-21,POR,Portland Trail Blazers,22000029,2020-12-26,POR vs. HOU,1610612745,41.09,88.24,0.466,0.465,0.001,Houston Rockets,HOU,34,34,0.443,21.97,39.06,0.563,0.573,-0.01,28.88,55.26,0.523,0.527,-0.005,12.21,32.97,0.37,0.361,0.01,103.6,112.4
9,2020-21,POR,Portland Trail Blazers,22000020,2020-12-23,POR vs. UTA,1610612762,40.94,91.14,0.449,0.467,-0.017,Utah Jazz,UTA,36,36,0.44,21.83,40.06,0.545,0.576,-0.031,30.08,60.47,0.497,0.529,-0.032,10.86,30.67,0.354,0.368,-0.014,100.8,105.7
