,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
22,2020-21,BKN,Brooklyn Nets,22000158,2021-01-12,BKN vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,DEN,36,36,0.417,20.86,35.33,0.59,0.57,0.021,26.5,49.19,0.539,0.524,0.015,13.25,35.58,0.372,0.365,0.007,99.3,110.0
71,2020-21,BKN,Brooklyn Nets,22000143,2021-01-10,BKN vs. OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,OKC,36,36,0.411,22.64,37.75,0.6,0.576,0.024,30.14,54.03,0.558,0.532,0.026,14.42,37.92,0.38,0.368,0.012,103.1,111.9
4,2020-21,BKN,Brooklyn Nets,22000128,2021-01-08,BKN @ MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,MEM,40,40,0.436,21.78,39.8,0.547,0.575,-0.028,28.85,55.95,0.516,0.529,-0.013,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
45,2020-21,BKN,Brooklyn Nets,22000118,2021-01-07,BKN vs. PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,PHI,36,36,0.425,21.19,35.72,0.593,0.575,0.018,27.28,52.94,0.515,0.528,-0.013,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
59,2020-21,BKN,Brooklyn Nets,22000102,2021-01-05,BKN vs. UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,UTA,36,36,0.423,21.22,38.75,0.548,0.575,-0.027,29.92,58.64,0.51,0.529,-0.019,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
62,2020-21,BKN,Brooklyn Nets,22000086,2021-01-03,BKN vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,WAS,38,38,0.445,23.39,41.29,0.567,0.571,-0.004,31.89,60.32,0.529,0.528,0.001,11.47,32.42,0.354,0.365,-0.011,106.4,110.5
2,2020-21,BKN,Brooklyn Nets,22000072,2021-01-01,BKN vs. ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,ATL,36,36,0.421,21.75,37.67,0.577,0.576,0.001,29.5,55.11,0.535,0.53,0.006,12.03,34.31,0.351,0.363,-0.012,99.9,110.6
0,2020-21,BKN,Brooklyn Nets,22000057,2020-12-30,BKN vs. ATL,1610612737,40.97,88.81,0.461,0.464,-0.003,Atlanta Hawks,ATL,36,36,0.442,22.25,39.22,0.567,0.573,-0.006,29.19,54.83,0.532,0.528,0.005,11.78,33.97,0.347,0.367,-0.02,99.9,110.6
3,2020-21,BKN,Brooklyn Nets,22000042,2020-12-28,BKN vs. MEM,1610612763,40.34,85.56,0.472,0.467,0.005,Memphis Grizzlies,MEM,32,32,0.404,20.44,34.56,0.591,0.578,0.013,27.28,50.72,0.538,0.532,0.006,13.06,34.84,0.375,0.361,0.014,102.6,108.5
5,2020-21,BKN,Brooklyn Nets,22000032,2020-12-27,BKN @ CHA,1610612766,41.6,88.2,0.472,0.464,0.008,Charlotte Hornets,CHA,35,35,0.413,22.2,36.43,0.609,0.572,0.037,26.4,47.83,0.552,0.528,0.024,15.2,40.37,0.377,0.365,0.012,100.6,110.6
8,2020-21,BKN,Brooklyn Nets,22000007,2020-12-25,BKN @ BOS,1610612738,39.97,85.36,0.468,0.467,0.001,Boston Celtics,BOS,36,36,0.421,21.19,35.92,0.59,0.575,0.015,27.72,51.56,0.538,0.53,0.008,12.25,33.81,0.362,0.366,-0.004,100.7,110.0
11,2020-21,BKN,Brooklyn Nets,22000001,2020-12-22,BKN vs. GSW,1610612744,39.73,89.62,0.443,0.464,-0.021,Golden State Warriors,GSW,37,37,0.425,20.54,38.08,0.539,0.574,-0.034,26.54,54.05,0.491,0.526,-0.035,13.19,35.57,0.371,0.369,0.002,104.4,107.7
