,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
5,2021-22,ATL,Atlanta Hawks,22100621,1/12/22,ATL vs. MIA,38.87,84.57,0.46,0.46,-0.001,0.388,20.52,32.83,0.625,0.58,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
47,2021-22,ATL,Atlanta Hawks,22100597,1/9/22,ATL @ LAC,41.33,90.29,0.458,0.462,-0.004,0.449,22.33,40.52,0.551,0.588,29.33,57.48,0.51,0.536,-0.026,1610612746,12,32.81,0.366,0.352,0.014,100.2,107.5
70,2021-22,ATL,Atlanta Hawks,22100589,1/7/22,ATL @ LAL,45.75,90.67,0.505,0.464,0.041,0.434,24.92,39.33,0.633,0.591,33.17,56.83,0.584,0.537,0.047,1610612747,12.58,33.83,0.372,0.353,0.019,102.3,110.9
72,2021-22,ATL,Atlanta Hawks,22100577,1/5/22,ATL @ SAC,43.82,89.27,0.491,0.463,0.028,0.428,23.18,38.23,0.606,0.588,29.14,52.32,0.557,0.538,0.019,1610612758,14.68,36.95,0.397,0.354,0.044,102.1,112.9
45,2021-22,ATL,Atlanta Hawks,22100560,1/3/22,ATL @ POR,42.26,85.17,0.496,0.46,0.036,0.443,24.3,37.74,0.644,0.581,28.26,47.17,0.599,0.535,0.064,1610612757,14,38,0.368,0.35,0.018,100.6,114
19,2021-22,ATL,Atlanta Hawks,22100533,12/31/21,ATL @ CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
53,2021-22,ATL,Atlanta Hawks,22100519,12/29/21,ATL @ CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
54,2021-22,ATL,Atlanta Hawks,22100502,12/27/21,ATL vs. CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
34,2021-22,ATL,Atlanta Hawks,22100488,12/25/21,ATL @ NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
75,2021-22,ATL,Atlanta Hawks,22100478,12/23/21,ATL @ PHI,40.67,85.46,0.476,0.459,0.017,0.415,21.67,35.5,0.61,0.583,29.17,53.67,0.543,0.528,0.015,1610612755,11.5,31.79,0.362,0.353,0.009,98.4,108.3
